Date,Open,High,Low,Close,Adj Close,Volume
2023/2/15,22.549,22.855,22.106001,22.764,22.750967,420575000
2023/2/16,22.132999,22.549999,21.927,22.002001,21.989407,412026000
2023/2/17,21.631001,21.74,20.975,21.388,21.375755,465888000
2023/2/21,21,21.493999,20.618,20.655001,20.643177,410015000
2023/2/22,20.707001,21.104,20.421,20.754,20.742119,513184000
2023/2/23,23.440001,23.888,23.025,23.664,23.650452,1117995000
2023/2/24,23.225,23.474001,22.947001,23.285999,23.272667,589716000
2023/2/27,23.67,23.879999,23.454,23.500999,23.487543,452994000
2023/2/28,23.372,23.825001,23.205999,23.216,23.202707,455963000
2023/3/1,23.191999,23.256001,22.507999,22.698,22.685007,460026000
2023/3/2,22.488001,23.379999,22.431999,23.313999,23.300652,389415000
2023/3/3,23.32,23.9,23.129999,23.889999,23.876322,412393000
2023/3/6,23.891001,24.247999,23.487,23.554001,23.540518,437429000
2023/3/7,23.6,24.125,23.240999,23.288,23.27862,515154000
2023/3/8,23.487,24.200001,23.424,24.181,24.171261,
2023/3/9,24.174999,24.454,23.382999,23.436001,23.426563,501257000
2023/3/10,23.409,23.627001,22.726,22.965,22.95575,474866000
2023/3/13,22.752001,23.298,22.297001,22.966,22.956749,421890000
2023/3/14,23.496,24.219,23.459999,24.063,24.053308,474910000
2023/3/15,23.761,24.285999,23.360001,24.228001,24.218245,524486000
2023/3/16,24.027,25.587999,23.893999,25.541,25.530714,583253000
2023/3/17,25.982,26.399,25.667999,25.725,25.71464,848547000
2023/3/20,25.615,26.024,25.129999,25.9,25.889568,432747000
2023/3/21,26.18,26.392,25.381001,26.198999,26.18845,547408000
2023/3/22,26.424999,27.589001,26.237,26.468,26.457338,797295000
2023/3/23,27.115,27.499001,26.690001,27.191,27.180048,564889000
2023/3/24,27.031,27.167,26.355,26.778999,26.768213,454920000
2023/3/27,26.837,27,26.365,26.531,26.520315,361026000
2023/3/28,26.447001,26.513,25.85,26.41,26.399363,356104000
2023/3/29,26.825001,27.077999,26.597,26.983999,26.973133,393694000
2023/3/30,27.229,27.499001,27.101999,27.382999,27.371971,364516000
2023/3/31,27.139999,27.834,27.105,27.777,27.765812,433933000
2023/4/3,27.509001,28,27.336,27.965,27.953735,398716000
2023/4/4,27.966,28,27.306999,27.452999,27.441942,368592000
2023/4/5,26.829,26.997999,26.395,26.881001,26.870174,515015000
2023/4/6,26.584,27.08,26.427,27.037001,27.02611,397654000
2023/4/10,26.823,27.621,26.669001,27.579,27.567892,395279000
2023/4/11,27.724001,27.790001,27.125999,27.169001,27.158058,314378000
2023/4/12,27.370001,27.468,26.448,26.495001,26.484331,446259000
2023/4/13,26.733999,26.886999,26.329,26.462999,26.452343,353615000
2023/4/14,26.504,26.882999,26.219999,26.757999,26.747223,395660000
2023/4/17,26.565001,27.006001,26.433001,27.002001,26.991125,321471000
2023/4/18,27.533001,28.110001,27.357,27.667,27.655857,604812000
2023/4/19,27.361,28,27.232,27.931,27.91975,358660000
2023/4/20,27.671,28.030001,27,27.104,27.093084,427713000
2023/4/21,26.952,27.183001,26.722,27.118999,27.108076,345103000
2023/4/24,27.013,27.365999,26.671,27.042,27.031109,339282000
2023/4/25,27.077999,27.247,26.225,26.240999,26.230433,378527000
2023/4/26,27.002001,27.33,26.705,26.955999,26.945143,406337000
2023/4/27,27.363001,27.495001,26.625,27.226,27.215034,377161000
2023/4/28,27.225,27.757999,27.070999,27.749001,27.737825,292216000
2023/5/1,27.84,29.058001,27.780001,28.91,28.898355,570329000
